Column1,PLAYER,EFF,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,LANE_AGILITY_TIME_x,SHUTTLE_RUN_x,THREE_QUARTER_SPRINT_x,STANDING_VERTICAL_LEAP_x,MAX_VERTICAL_LEAP_x,MAX_BENCH_PRESS_x,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,LANE_AGILITY_TIME_y,SHUTTLE_RUN_y,THREE_QUARTER_SPRINT_y,STANDING_VERTICAL_LEAP_y,MAX_VERTICAL_LEAP_y,MAX_BENCH_PRESS_y
353,Skal Labissiere,10.5,,,,,,,,,,,,,-,-,-,-,-,-,0.06,8.75,9,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5'',-,-,-,-,-,-
354,Caris LeVert,9.3,0.436,0.333,0.737,27.5,14.7,3.8,4,11.6,0.067,-0.4,3.4,2016,-,-,-,-,-,-,0.08,8.5,9.25,6' 5.75'',6' 7'',8' 5'',191,6' 10'',-,-,-,-,-,-
355,Willy Hernangomez,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Ivica Zubac,9.5,0.6,0.1,0.754,18.7,8.2,6.4,1.1,24.7,0.184,0.7,4.4,2016,,,,,,,,,,,,,,,,,,,,
357,Isaiah Whitehead,7.2,0.411,0.305,0.788,20.5,7.2,2.4,2.4,-0.9,-0.025,-5,-1.4,2016,11.65,3.21,3.34,27.5,35.5,-,0.09,8.5,8.75,6' 3.25'',6' 4.5'',8' 4'',210,6' 8.75'',11.65,3.21,3.34,27.5,35.5,-
358,Tyler Ulis,7.7,0.403,0.28,0.808,20.9,7.5,1.7,4,0.5,0.008,-3.6,-1.1,2016,10.8,2.88,3.2,32.5,38,-,0.05,7.5,7.5,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2'',10.8,2.88,3.2,32.5,38,-
359,Jaylen Brown,6.6,0.471,0.372,0.711,28.5,16.1,4.9,2,22.7,0.099,0,5.5,2016,-,-,-,-,-,-,0.05,8.75,9,6' 5.25'',6' 6.75'',8' 6.5'',222.8,6' 11.75'',-,-,-,-,-,-
360,Timothe Luwawu-Cabarrot,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Rodney McGruder,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Mindaugas Kuzminskas,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Troy Williams,6,,,,,,,,,,,,,10.72,3.08,3.35,30,36,-,0.1,8.25,9.25,6' 5.75'',6' 6.75'',8' 6'',217.8,6' 8.25'',10.72,3.08,3.35,30,36,-
364,Alex Abrines,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Domantas Sabonis,6.5,0.534,0.32,0.727,28.3,14.3,9.2,3.6,34.6,0.143,1.8,11,2016,,,,,,,,,,,,,,,,,,,,
366,Andrew Harrison,6.4,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6,2015,11.2,-,3.34,26.5,33,-,0.06,8.25,9.25,6' 4.5'',6' 5.5'',8' 4'',213.2,6' 9'',11.2,-,3.34,26.5,33,-
367,Taurean Prince,6.2,0.414,0.37,0.82,24.3,10.5,3.9,1.8,7.6,0.042,-1.8,0.4,2016,10.96,2.8,3.24,34,36,-,0.06,9,8.5,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5'',10.96,2.8,3.24,34,36,-
368,Paul Zipser,5.7,0.371,0.335,0.769,17,4.7,2.6,0.8,0,-0.001,-5.2,-1.4,2016,,,,,,,,,,,,,,,,,,,,
369,Malcolm Delaney,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Chasson Randle,5.2,,,,,,,,,,,,,10.63,2.81,3.2,33.5,39.5,6,0.05,8.5,9.5,6' 0.25'',6' 1.5'',8' 0.5'',178.8,6' 7'',10.63,2.81,3.2,33.5,39.5,6
371,Derrick Jones Jr.,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Denzel Valentine,5.3,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.045,-1.8,0.2,2016,10.51,3.22,3.46,27,32,-,0.09,8.5,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75'',10.51,3.22,3.46,27,32,-
373,Juancho Hernangomez,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Davis Bertans,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Dorian Finney-Smith,5.5,,,,,,,,,,,,,11.01,3.04,3.27,32.5,35.5,-,0.06,9,9.75,6' 6.5'',6' 7.75'',8' 9.5'',212.6,6' 11.75'',11.01,3.04,3.27,32.5,35.5,-
376,Pascal Siakam,6.5,0.487,0.326,0.775,29,15.2,6.2,3,30.1,0.131,1.4,9.5,2016,11.25,3.09,3.41,30.5,36.5,-,0.05,9.25,10,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25'',11.25,3.09,3.41,30.5,36.5,-
377,Ron Baker,4.9,,,,,,,,,,,,,10.77,2.96,3.45,30,35.5,-,0.08,8.75,9.5,6' 3.25'',6' 4.25'',8' 1.5'',212.4,6' 9.75'',10.77,2.96,3.45,30,35.5,-
378,Patrick McCaw,4.5,0.42,0.305,0.785,16.9,3.8,1.6,1.4,4.4,0.062,-2.8,-0.6,2016,11.01,2.97,3.3,30,38,-,0.05,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10'',11.01,2.97,3.3,30,38,-
379,Thon Maker,4.7,0.435,0.327,0.68,13.8,4.6,2.8,0.6,6.6,0.087,-2.1,-0.1,2016,11.15,3.09,3.33,32,36.5,-,0.06,8.75,9.5,6' 11.75'',7' 0.75'',9' 2.5'',216,7' 3'',11.15,3.09,3.33,32,36.5,-
380,Kay Felder,3.6,0.364,0.268,0.754,9.1,3.8,1,1.3,-0.4,-0.041,-4.7,-0.4,2016,11.52,2.9,3.15,35.5,44,-,0.06,8.25,8.5,5' 8.25'',5' 9.5'',7' 4.5'',177.2,6' 2.5'',11.52,2.9,3.15,35.5,44,-
381,Kris Dunn,5.8,0.42,0.305,0.727,24.1,8.2,3.3,4.1,3.7,0.032,-1.9,0.1,2016,-,-,-,-,-,-,-%,-,-,6' 3'',6' 4.25'',8' 4'',0,6' 9.5'',-,-,-,-,-,-
382,Dejounte Murray,3.2,0.455,0.328,0.761,25.4,12,5.9,4.7,15,0.093,1.5,6.9,2016,,,,,,,,,,,,,,,,,,,,
383,Dragan Bender,3.7,0.399,0.323,0.654,20.1,5.4,3.9,1.3,0.5,0.006,-3.9,-1.9,2016,,,,,,,,,,,,,,,,,,,,
384,Wade Baldwin IV,3.5,,,,,,,,,,,,,10.45,3.01,3.19,32.5,38,-,0.05,9,9.75,6' 2.5'',6' 4'',8' 4'',201.8,6' 11.25'',10.45,3.01,3.19,32.5,38,-
385,Maurice Ndour,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Jakob Poeltl,5.1,0.629,0.667,0.512,19.9,7.1,5.9,1.4,27.5,0.166,1.1,6.2,2016,-,-,-,-,-,-,0.06,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239,7' 2.75'',-,-,-,-,-,-
387,Sheldon Mac,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Fred VanVleet,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Semaj Christon,3.6,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-5.1,-0.8,2013,11.55,3.21,3.32,30.5,36.5,-,0.05,8.5,8.25,6' 1.5'',6' 3.25'',8' 3'',186,6' 6.5'',11.55,3.21,3.32,30.5,36.5,-
391,Okaro White,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Nicolas Brussino,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Tomas Satoransky,4,,,,,,,,,,,,,-,-,-,-,-,-,0.05,8.5,9.5,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25'',-,-,-,-,-,-
394,DeAndre' Bembry,3.3,0.475,0.283,0.611,19.4,6,3.2,1.8,4.4,0.038,-2.3,-0.4,2016,,,,,,,,,,,,,,,,,,,,
395,Bryn Forbes,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Karl-Anthony Towns,23.8,0.527,0.396,0.833,34.3,23.1,11.4,3.1,63.5,0.192,4.8,27.4,2015,,,,,,,,,,,,,,,,,,,,
397,Jahlil Okafor,16.6,0.542,0.222,0.676,19.5,10.4,4.7,0.9,7.2,0.071,-2,0,2015,,,,,,,,,,,,,,,,,,,,
398,Kristaps Porzingis,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Devin Booker,10.5,0.454,0.354,0.87,33.7,23.3,3.9,4.6,27.6,0.085,0.3,9,2015,10.27,2.75,3.28,27.5,34.5,8,0.08,8.75,9,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25'',10.27,2.75,3.28,27.5,34.5,8
400,D'Angelo Russell,11.1,0.421,0.359,0.778,29.4,17.8,3.6,5.5,13.6,0.055,0.7,8.1,2015,,,,,,,,,,,,,,,,,,,,
401,Emmanuel Mudiay,10.5,0.401,0.323,0.744,23.8,10.9,2.9,3.8,-0.2,-0.001,-3.2,-2.2,2015,,,,,,,,,,,,,,,,,,,,
402,Myles Turner,12.3,0.489,0.349,0.768,28.7,12.7,6.7,1.2,33.1,0.129,0.7,8.3,2015,-,-,-,-,-,-,0.09,9.25,9.25,6' 9.75'',6' 11.5'',9' 4'',238.6,7' 4'',-,-,-,-,-,-
403,Nikola Jokic,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Stanley Johnson,7.8,0.381,0.3,0.757,19.8,6.2,3.1,1.4,5.5,0.034,-2.8,-1.7,2015,-,-,-,-,-,-,0.08,9,9,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5'',-,-,-,-,-,-
405,Frank Kaminsky,8.8,0.429,0.348,0.743,21,9.4,4.1,1.6,15.3,0.092,-0.3,3.4,2015,-,-,-,-,-,-,0.09,8.5,9.5,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11'',-,-,-,-,-,-
406,Bobby Portis,8.9,0.471,0.388,0.75,21.5,11.1,6.5,1.2,20.3,0.104,-0.6,3.4,2015,11.78,3.28,3.56,25,31.5,5,0.09,9.5,9.25,6' 9.5'',6' 10.5'',9' 0.5'',246.2,7' 2'',11.78,3.28,3.56,25,31.5,5
407,Willie Cauley-Stein,11,0.544,0.188,0.612,22,8.7,5.9,1.4,23.4,0.121,-0.1,4.4,2015,-,-,-,-,-,-,0.06,9.5,9,6' 11.25'',7' 0.5'',9' 3'',242.4,7' 3'',-,-,-,-,-,-
408,Josh Richardson,7.3,0.427,0.362,0.834,29.9,12,3.1,2.7,22.9,0.088,-0.5,4.8,2015,,,,,,,,,,,,,,,,,,,,
409,Justise Winslow,9.2,0.414,0.318,0.637,25.9,8.4,5.1,2.5,8.1,0.048,-2,0,2015,-,-,-,-,-,-,0.05,8.5,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25'',-,-,-,-,-,-
410,Trey Lyles,6.9,0.439,0.336,0.727,18,7.6,4.3,1,13.4,0.083,-1.1,1.8,2015,-,-,-,-,-,-,0.12,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5'',-,-,-,-,-,-
411,T.J. McConnell,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Mario Hezonja,6.1,0.417,0.319,0.812,18.5,6.9,3.1,1.3,3.2,0.025,-2.8,-1.2,2015,,,,,,,,,,,,,,,,,,,,
413,Jonathon Simmons,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Raul Neto,5.8,0.453,0.366,0.801,16.2,6,1.6,2.1,9.7,0.078,-1.6,0.6,2012,,,,,,,,,,,,,,,,,,,,
415,Rondae Hollis-Jefferson,10.4,0.449,0.212,0.735,22.2,9,5.5,1.9,12.9,0.091,-0.7,2.3,2015,10.41,3.19,3.12,32,38,13,0.05,8.75,9.75,6' 5.5'',6' 7'',8' 8'',210.8,7' 2'',10.41,3.19,3.12,32,38,13
416,Jarell Martin,6.3,0.434,0.346,0.766,15.9,5.4,3.5,0.6,3.2,0.053,-4.3,-1.7,2015,11.2,2.97,3.27,28.5,35,19,0.1,8.25,9.5,6' 8'',6' 9.25'',8' 10.5'',238.6,6' 9'',11.2,2.97,3.27,28.5,35,19
417,Richaun Holmes,6.9,0.606,0.256,0.745,21.1,9.6,5.8,1.1,26.6,0.162,0.5,4.9,2015,11.24,3.31,3.32,32.5,36,15,0.09,8.5,8.5,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5'',11.24,3.31,3.32,32.5,36,15
418,Jerian Grant,6,0.411,0.323,0.77,17.9,6.1,1.9,2.9,8.3,0.08,-1.6,0.5,2015,-,-,-,-,-,-,0.06,8.25,8.5,6' 3.25'',6' 4.25'',8' 4'',198,6' 7.5'',-,-,-,-,-,-
419,Norman Powell,6,0.462,0.382,0.831,22.4,11.3,2.6,1.5,19.6,0.1,-0.2,4.3,2015,10.69,3.2,3.2,32.5,40.5,5,0.06,9.25,9,6' 3'',6' 4.25'',8' 6.5'',215.4,6' 10.75'',10.69,3.2,3.2,32.5,40.5,5
420,Larry Nance Jr.,9.3,0.528,0.33,0.684,24.1,8.1,6.6,1.9,24.2,0.125,1.1,7.3,2015,,,,,,,,,,,,,,,,,,,,
421,Boban Marjanovic,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Nemanja Bjelica,7.7,0.465,0.383,0.753,20.4,7.6,4.5,1.8,19.1,0.103,0.3,5,2010,,,,,,,,,,,,,,,,,,,,
423,Cameron Payne,5.4,0.421,0.365,0.835,17.4,7.4,2.1,3,7.1,0.075,-0.6,1.6,2015,10.9,2.93,3.28,29.8,35.5,0,0.06,8.5,8.25,6' 0.75'',6' 1.5'',8' 1.5'',182.8,6' 7.25'',10.9,2.93,3.28,29.8,35.5,0
424,Chris McCullough,5.7,0.426,0.306,0.548,9,3.3,1.9,0.3,0.6,0.054,-2.5,-0.1,2015,-,-,-,-,-,-,0.06,8.75,8.75,6' 8.25'',6' 9'',9' 1'',199,7' 3.25'',-,-,-,-,-,-
425,Willie Reed,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Marcelo Huertas,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Tyus Jones,5.4,0.435,0.342,0.825,18.2,6,1.7,3.6,17.8,0.107,0.3,4.6,2015,11.84,2.95,3.32,26.5,32.5,2,0.07,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5'',11.84,2.95,3.32,26.5,32.5,2
428,Darrun Hilliard,3.3,0.377,0.304,0.747,9.4,3.2,0.9,0.8,0.3,0.016,-4.7,-0.6,2015,,,,,,,,,,,,,,,,,,,,
429,Anthony Brown,4.1,0.328,0.286,0.85,18.6,3.9,2.5,0.7,-0.2,-0.016,-5.1,-0.6,2015,10.94,3.29,3.18,27.5,34.5,4,0.06,8.5,9,6' 5.75'',6' 7.25'',8' 8.5'',211,6' 11'',10.94,3.29,3.18,27.5,34.5,4
430,Delon Wright,4.2,0.452,0.353,0.796,20.8,7.3,3.2,3.1,21.4,0.126,2,8.3,2015,11.16,3.5,3.29,29.5,31,4,0.07,8,8.5,6' 4.25'',6' 5.5'',8' 5.5'',181.4,6' 7.5'',11.16,3.5,3.29,29.5,31,4
431,Justin Anderson,5,0.412,0.293,0.776,13.1,5.2,2.5,0.7,4.7,0.074,-1.4,0.4,2015,11.13,2.88,3.22,38,43,12,0.05,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75'',11.13,2.88,3.22,38,43,12
432,Joe Young,3.4,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6,2015,,,,,,,,,,,,,,,,,,,,
433,Kelly Oubre Jr.,3.8,0.434,0.331,0.753,25.4,12.1,4.4,1,17,0.07,-1.8,0.6,2015,,,,,,,,,,,,,,,,,,,,
434,Salah Mejri,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Montrezl Harrell,4.4,0.618,0.118,0.66,21.7,13,5.4,1.4,39.5,0.198,2.9,11.8,2015,-,-,-,-,-,-,0.12,9,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25'',-,-,-,-,-,-
436,Cristiano Felicio,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Rashad Vaughn,2.5,0.337,0.313,0.692,12,3,1.1,0.5,-0.6,-0.017,-4.7,-1.2,2015,11.4,3.1,3.21,28,34,5,0.06,8,8.5,6' 3.75'',6' 5'',8' 5'',198.6,6' 7'',11.4,3.1,3.21,28,34,5
438,RJ Hunter,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Jarell Eddie,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lamar Patterson,2.9,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.7,-0.4,2013,11.63,3.13,3.45,27.5,32.5,-,0.11,9,9.25,6' 4'',6' 5.25'',8' 5'',226,6' 11'',11.63,3.13,3.45,27.5,32.5,-
442,Terry Rozier,2.1,0.414,0.374,0.816,25.8,12.4,3.9,3.1,22.4,0.091,0.5,7.6,2015,10.84,2.84,3.15,33,38,7,0.06,8.25,8.5,6' 0.5'',6' 2.25'',8' 2.5'',190.2,6' 8.25'',10.84,2.84,3.15,33,38,7
443,Pat Connaughton,1,0.447,0.366,0.791,18.4,5.8,3.3,1.2,17.6,0.113,0,3.7,2015,10.58,3.08,3.2,37.5,44,13,0.1,8.5,9.25,6' 4'',6' 5.25'',8' 0'',215,6' 8'',10.58,3.08,3.2,37.5,44,13
444,Sasha Kaun,1.6,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-2.8,0,2008,12.06,-,3.2,29,32,13,0.1,-,-,6' 9'',6' 10.75'',9' 2'',247,7' 4'',12.06,-,3.2,29,32,13
445,Andrew Wiggins,13.9,0.448,0.35,0.725,35.1,19.3,4.4,2.3,23.5,0.055,-1.5,2.5,2013,,,,,,,,,,,,,,,,,,,,
447,Jabari Parker,12.9,0.494,0.326,0.743,27.5,14.1,5.5,2,13.8,0.078,-0.8,2.5,2013,,,,,,,,,,,,,,,,,,,,
449,Jordan Clarkson,12.1,0.439,0.339,0.828,26.9,15.3,3.3,2.5,20.4,0.063,-0.5,5.9,2013,10.76,2.98,3.28,33,38.5,-,0.04,8.25,9,6' 3.25'',6' 5'',8' 2'',186.3,6' 8'',10.76,2.98,3.28,33,38.5,-
451,Langston Galloway,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Nikola Mirotic,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Zach LaVine,9.4,0.461,0.387,0.83,31.7,19.7,3.9,3.9,22.3,0.073,0.4,8.8,2013,10.42,2.8,3.19,33.5,41.5,-,0.05,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25'',10.42,2.8,3.19,33.5,41.5,-
455,Nerlens Noel,15.6,0.549,0.154,0.655,22.4,7.3,6.2,1.1,28.2,0.134,0.9,7.5,2012,-,-,-,-,-,-,0.04,9.5,10,6' 10'',6' 11.75'',9' 2'',206.4,7' 3.75'',-,-,-,-,-,-
456,Bojan Bogdanovic,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Elfrid Payton,13,0.448,0.288,0.624,27.1,10.2,4.1,5.8,16,0.058,-0.9,3.8,2013,11.06,2.92,3.23,31.5,35.5,-,0.06,8.75,9,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8'',11.06,2.92,3.23,31.5,35.5,-
459,Rodney Hood,7.8,0.419,0.364,0.841,24.8,10.5,2.6,1.7,17.2,0.076,-1.2,2.1,2013,11.21,3.14,3.38,29,36,-,0.07,8.5,8.5,6' 7.25'',6' 8.5'',8' 7'',208.2,6' 8.5'',11.21,3.14,3.38,29,36,-
461,KJ McDaniels,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Marcus Smart,9.4,0.381,0.32,0.779,29.7,10.4,3.6,4.4,28.4,0.091,-0.2,6.7,2013,10.82,2.96,3.26,33,36,-,0.11,9,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25'',10.82,2.96,3.26,33,36,-
464,Jusuf Nurkic,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Adreian Payne,7.6,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.9,-1.4,2013,-,-,-,-,-,-,0.08,9.25,9.5,6' 9'',6' 9.75'',9' 1'',238.5,7' 4'',-,-,-,-,-,-
467,Jerami Grant,6.2,0.452,0.346,0.721,26,11.3,3.9,1.3,27.4,0.093,-0.5,5.3,2013,-,-,-,-,-,-,0.04,9.25,9.25,6' 6.5'',6' 7.75'',8' 11'',214,7' 2.75'',-,-,-,-,-,-
469,Mitch McGary,9,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-2.6,-0.1,2013,,,,,,,,,,,,,,,,,,,,
471,T.J. Warren,6.2,0.507,0.357,0.78,28.8,15.5,4.1,1.2,19.6,0.099,-0.2,4.2,2013,11.1,3.04,3.26,27,35.5,-,0.08,8.75,9,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25'',11.1,3.04,3.26,27,35.5,-
473,Tarik Black,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Tyler Johnson,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,PJ Hairston,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Cleanthony Early,4.8,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.9,-0.8,2013,11.15,2.96,3.18,34,40,-,0.04,8.5,9,6' 6'',6' 7.25'',8' 5.5'',209.4,6' 10.75'',11.15,2.96,3.18,34,40,-
478,Elijah Millsap,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,JaKarr Sampson,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Aaron Gordon,6.8,0.457,0.322,0.7,28.8,12.9,6.3,2.5,27.7,0.09,-0.1,7.2,2013,10.81,2.76,3.27,32.5,39,-,0.05,8.75,10.5,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75'',10.81,2.76,3.27,32.5,39,-
482,Shabazz Napier,6.2,0.397,0.345,0.815,17.4,7.1,1.9,2.5,8.1,0.065,-0.7,2,2013,11.6,3.13,3.2,30.5,37.5,-,0.07,8.25,8.5,5' 11'',6' 1'',7' 9'',175.2,6' 3.25'',11.6,3.13,3.2,30.5,37.5,-
484,James Ennis III,6.1,0.457,0.36,0.797,20.3,6.7,3.3,0.9,16.2,0.097,-1.5,0.9,2012,,,,,,,,,,,,,,,,,,,,
485,Joe Ingles,6.6,,,,,,,,,,,,,10.66,-,3.3,26,31,3,0.1,-,-,6' 7.75'',6' 8.25'',8' 9'',209.2,6' 10.25'',10.66,-,3.3,26,31,3
486,Dante Exum,4.6,0.407,0.305,0.764,18.6,5.7,1.8,2.1,3.1,0.032,-3.3,-1.5,2013,10.75,2.88,3.19,31.5,34.5,-,0.06,8.5,9.5,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5'',10.75,2.88,3.19,31.5,34.5,-
488,Damjan Rudez,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Markel Brown,5,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.9,-0.4,2013,12.62,2.9,3.18,36.5,43.5,-,0.04,8.25,9.75,6' 2.5'',6' 3.5'',8' 4'',184.4,6' 8.75'',12.62,2.9,3.18,36.5,43.5,-
491,Nik Stauskas,3.8,0.389,0.354,0.814,19.8,6.8,2.1,1.5,3.9,0.028,-3,-1.7,2013,10.79,2.92,3.27,29,35.5,-,0.12,8.5,8.5,6' 5.25'',6' 6.5'',8' 6'',206.9,6' 7.75'',10.79,2.92,3.27,29,35.5,-
493,Spencer Dinwiddie,4.9,0.408,0.319,0.793,26.3,12.9,3,5.1,21,0.104,0.2,5.5,2013,-,-,-,-,-,-,0.05,8.25,9,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25'',-,-,-,-,-,-
495,Kostas Papanikolaou,5.6,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.7,-0.2,2011,,,,,,,,,,,,,,,,,,,,
496,Travis Wear,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Joffrey Lauvergne,4.8,0.479,0.285,0.719,13.6,5.6,3.8,0.9,5.2,0.089,-2.1,-0.1,2012,,,,,,,,,,,,,,,,,,,,
498,Tyler Ennis,3.5,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-3.4,-0.8,2013,11.12,2.84,3.3,29,36,-,0.06,8.25,8.75,6' 1'',6' 2.5'',8' 2'',181.5,6' 7.25'',11.12,2.84,3.3,29,36,-
500,Cory Jefferson,4.8,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-3.3,-0.2,2013,12.63,3.39,3.36,33,37.5,-,0.05,8.75,9.75,6' 7.75'',6' 9'',8' 9'',218.4,7' 0.5'',12.63,3.39,3.36,33,37.5,-
502,Gary Harris,2.3,0.448,0.362,0.811,28.9,11.8,2.5,2.1,20.5,0.074,-1.4,2,2013,-,-,-,-,-,-,0.05,8.5,9.5,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75'',-,-,-,-,-,-
504,Erick Green,2.6,0.377,0.288,0.857,8.7,3.1,0.7,0.8,0.1,0.011,-4,-0.2,2012,-,-,-,-,-,5,0.04,8.5,9,6' 1.5'',6' 3'',8' 2'',178.2,6' 5.75'',-,-,-,-,-,5
505,James Young,2.8,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-3.4,-0.3,2013,-,-,-,28,35.5,-,0.05,9,9.5,6' 5.25'',6' 6.75'',8' 8'',213.3,7' 0'',-,-,-,28,35.5,-
507,Noah Vonleh,4.8,0.459,0.308,0.691,16.8,4.9,5.1,0.8,9.2,0.078,-2.4,-0.6,2013,11.45,3.29,3.28,31,37,-,0.07,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25'',11.45,3.29,3.28,31,37,-
509,Jordan Adams,2.9,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,1.7,0.2,2013,12.13,3.05,3.5,24.5,29.5,-,0.11,8.5,7.5,6' 3.5'',6' 4.75'',8' 6'',208.8,6' 10'',12.13,3.05,3.5,24.5,29.5,-
511,Dwight Powell,3.8,0.579,0.299,0.745,18.8,7.5,4.5,1,35.4,0.184,1.2,7.6,2013,11.28,2.88,3.2,28.5,35,-,0.06,9,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5'',11.28,2.88,3.2,28.5,35,-
513,Doug McDermott,2.1,0.477,0.411,0.82,20.9,9.2,2.4,0.9,19.3,0.085,-1.9,0.4,2013,11.1,3.15,3.29,28.5,36.5,-,0.07,8.75,9.75,6' 6.25'',6' 7.75'',8' 7'',218,6' 9.25'',11.1,3.15,3.29,28.5,36.5,-
515,Johnny O'Bryant III,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
